Timestamp,Host,Reachable,Avg_RTT_ms
2025-06-25 22:50:03,192.168.1.1,Yes,2.367
2025-06-25 23:00:01,8.8.8.8,Yes,154.039
2025-06-25 23:00:02,1.1.1.1,Yes,111.154
2025-06-25 23:00:03,192.168.1.1,Yes,3.151
2025-06-25 23:10:01,8.8.8.8,Yes,91.480
2025-06-25 23:10:02,1.1.1.1,Yes,109.375
2025-06-25 23:10:03,192.168.1.1,Yes,4.648
2025-06-25 23:20:01,8.8.8.8,Yes,76.313
2025-06-25 23:20:02,1.1.1.1,Yes,111.941
2025-06-25 23:20:04,192.168.1.1,Yes,4.069
2025-06-25 23:30:01,8.8.8.8,Yes,105.299
2025-06-25 23:30:02,1.1.1.1,Yes,110.920
2025-06-25 23:30:03,192.168.1.1,Yes,2.071
2025-06-25 23:40:01,8.8.8.8,Yes,112.987
2025-06-25 23:40:03,1.1.1.1,Yes,110.759
2025-06-25 23:40:04,192.168.1.1,Yes,1.517
2025-06-25 23:50:01,8.8.8.8,Yes,116.041
2025-06-25 23:50:02,1.1.1.1,Yes,110.816
2025-06-25 23:50:03,192.168.1.1,Yes,2.209
2025-06-27 13:10:01,8.8.8.8,Yes,10.535
2025-06-27 13:10:02,1.1.1.1,Yes,2.576
2025-06-27 13:10:03,192.168.1.1,Yes,N/A
2025-06-27 19:00:01,8.8.8.8,Yes,8.078
2025-06-27 19:00:02,1.1.1.1,Yes,3.394
2025-06-27 19:00:03,192.168.1.1,Yes,N/A
2025-06-27 19:10:01,8.8.8.8,Yes,7.653
2025-06-27 19:10:02,1.1.1.1,Yes,4.254
2025-06-27 19:10:03,192.168.1.1,Yes,N/A
2025-06-27 19:20:01,8.8.8.8,Yes,13.665
2025-06-27 19:20:02,1.1.1.1,Yes,6.664
2025-06-27 19:20:03,192.168.1.1,Yes,N/A
2025-06-27 19:30:01,8.8.8.8,Yes,9.699
2025-06-27 19:30:02,1.1.1.1,Yes,3.698
2025-06-27 19:30:03,192.168.1.1,Yes,N/A
2025-06-27 19:40:01,8.8.8.8,Yes,7.999
